"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "Docker", "Properties", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "PostCSS", "comment", "blank", "total"
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/AGENTS.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 16, 51
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/Dockerfile", "Docker", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 8, 19
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/README.md", "Markdown", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/eslint.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/index.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 25
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/knip.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/nginx.conf", "Properties", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/package-lock.json", "JSON", 6330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6331
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/public/favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/public/site.webmanifest", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 5, 8, 53
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/api/blogsApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 8, 124
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/api/categoriesApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 1, 19, 185
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/api/certificatesApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/api/productsApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 506, 0, 0, 0, 0, 0, 60, 566
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/api/reviewsApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 4, 8, 63
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/app/ScrollToTop.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/app/hooks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/app/store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 9, 62
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/button1_for_sideBar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/button2_for_sideBar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/catalog/icons/addres.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/catalog/icons/calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/catalog/icons/fa_truck.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/catalog/icons/time.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/catalog/left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/catalog/productPlaceholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/catalog/right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/demoZal/Play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/demoZal/five.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/demoZal/four.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/assets/demoZal/one.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
